tipologia;autore_saggio;precisazione_ autore;titolo_saggio;autore_curatore_volume;precisazione_curatore;titolo_volume;luogo;editore;anno;volumi;rivista;annata;fascicolo;pagine
articolo in volume miscellaneo;Vaira, Massimiliano;;La ricerca universitaria è un lusso?;Bologna, Chiara - Endrici, Giovanna;a cura di;Governare le università. Il centro del sistema;Bologna;il Mulino;2011;;;;;69-84
articolo in volume miscellaneo;Vitale, Carmen;;Il ruolo delle regioni nel governo del sistema universitario: scenari e prospettive alla luce della legge 240/2010 ;Bologna, Chiara - Endrici, Giovanna;a cura di;Governare le università. Il centro del sistema;Bologna;il Mulino;2011;;;;;227-242
articolo in volume miscellaneo;Zan, Stefano;;Organizzazione e governance dell'università;Bologna, Chiara - Endrici, Giovanna;a cura di;Governare le università. Il centro del sistema;Bologna;il Mulino;2011;;;;;101-116
articolo in volume miscellaneo;Zanetti, Leonardo;;Le sedi centrali di rappresentanza della comunità accademica;Bologna, Chiara - Endrici, Giovanna;a cura di;Governare le università. Il centro del sistema;Bologna;il Mulino;2011;;;;;243-255
poligrafia;;;;Bologna, Chiara - Endrici, Giovanna;a cura di;Governare le università. Il centro del sistema;Bologna;il Mulino;2011;;;;;258
monografia;;;;Del Centina, Andrea - Fiocca, Alessandra;;Guglielmo Libri matematico e storico della matematica. L'irresisitibile ascesa dell'Ateneo pisano all'Institut de France;Firenze;Olschki;2010;;;;;324 + CD-Rom “Appendice documentaria”
monografia;;;;Spadafora, Mirella;;Habent sua fata libelli. Gli alba amicorum e il loro straordinario corredo iconografico (1545-1630 c.);Bologna;Clueb;2009;;;;;139
monografia;;;;Charle, Christophe - Verger, Jacques;;Histoire des universités XIIe-XXIe siècles;Paris;Presses Universitaires de France;2012;;;;;334
poligrafia;;;;Polo Rodríguez, Juan Luis - Rodríguez - San Pedro Bezares, Luis E.;eds.;Historiografía y líneas de investigación en historia de las universidades: Europa mediterránea e Iberoamérica;Salamanca;Universidad de Salamanca;2012;;;;;398
articolo in volume miscellaneo;Nardi, Paolo;;Le relazioni tra l'Archivio di Stato di Siena e il mondo universitario dalla fine dell'Ottocento al 1960;Turrini, Patrizia - Zarrilli, Carla;a cura di;I centocinquant'anni dell'Archivio di Stato di Siena. Direttori e ordinamenti. Atti della giornata di studio, Archivio di Stato di Siena, 28 febbraio 2008;Roma;Ministero per i beni e le attività culturali, Direzione generale per gli archivi;2011;;;;;117-156
monografia;;;;Serangeli, Sandro;;I docenti dell'antica Università di Macerata (1540-1824);Torino;Giappichelli ;2010;;;;;239
monografia;;;;Turtas, Raimondo;;I gesuiti in Sardegna: 450 anni di storia (1559-2009);Cagliari;Cuec;2010;;;;;197
