tipologia;autore_saggio;precisazione_ autore;titolo_saggio;autore_curatore_volume;precisazione_curatore;titolo_volume;luogo;editore;anno;volumi;rivista;annata;fascicolo;pagine
monografia;;;;Carella, Candida;;L’insegnamento della filosofia alla “Sapienza” di Roma nel Seicento. Le cattedre e i maestri;Firenze;Olschki;2008;;;;;258
poligrafia;;;;Pupillo, Giuseppe;a cura di;L'insegnamento di Ettore Gallo [Atti del convegno, Vicenza, 22 marzo 2003];Sommacampagna;Cierre;2008;;;;;296
monografia;;;;Gerali, Francesco;;L'opera e l'archivio spezzino di Giovanni Capellini, un geologo dell'Ottocento;Imola;Editrice Himolah;2012;;;;;105
articolo in volume miscellaneo;Da Pozzo, Carlo - Iacono, Alfonso Maurizio;;La  Facoltà di Lettere e Filosofia;;;L'organizzazione dei saperi all'Università di Pisa. Dalle Facoltà ai nuovi Dipartimenti;Pisa;Pisa University Press;2012;;;;;83-100
articolo in volume miscellaneo;Giovannetti, Manuela;;La  Facoltà di Agraria dell'Università di Pisa: 172 anni di eccellenza;;;L'organizzazione dei saperi all'Università di Pisa. Dalle Facoltà ai nuovi Dipartimenti;Pisa;Pisa University Press;2012;;;;;101-116
articolo in volume miscellaneo;Martini, Claudia;;La Storia della Facoltà di Farmacia a Pisa;;;L'organizzazione dei saperi all'Università di Pisa. Dalle Facoltà ai nuovi Dipartimenti;Pisa;Pisa University Press;2012;;;;;117-134
articolo in volume miscellaneo;Mazzoni, Bruno;;La Facoltà di lingue e letterature Straniere;;;L'organizzazione dei saperi all'Università di Pisa. Dalle Facoltà ai nuovi Dipartimenti;Pisa;Pisa University Press;2012;;;;;205-221
articolo in volume miscellaneo;Natale, Gianfranco - Petrini, Mario;;La storia della Facoltà di medicina e Chirurgia;;;L'organizzazione dei saperi all'Università di Pisa. Dalle Facoltà ai nuovi Dipartimenti;Pisa;Pisa University Press;2012;;;;;35-60
articolo in volume miscellaneo;Palazzolo, Claudio - Coppini, Romano Paolo - Breccia, Alessandro;;Gli studi delle scienze politiche nella storia post-unitaria dell'Università di Pisa;;;L'organizzazione dei saperi all'Università di Pisa. Dalle Facoltà ai nuovi Dipartimenti;Pisa;Pisa University Press;2012;;;;;223-238
articolo in volume miscellaneo;Poletti, Dianora;;La Facoltà di Economia;;;L'organizzazione dei saperi all'Università di Pisa. Dalle Facoltà ai nuovi Dipartimenti;Pisa;Pisa University Press;2012;;;;;183-204
articolo in volume miscellaneo;Poli, Alessandro;;La  Facoltà di Medicina Veterinaria;;;L'organizzazione dei saperi all'Università di Pisa. Dalle Facoltà ai nuovi Dipartimenti;Pisa;Pisa University Press;2012;;;;;61-82
articolo in volume miscellaneo;Ripepe, Eugenio;;La facoltà di Giurisprudenza;;;L'organizzazione dei saperi all'Università di Pisa. Dalle Facoltà ai nuovi Dipartimenti;Pisa;Pisa University Press;2012;;;;;11-34
